zipcode,zone,range,zone_general,range_general
49419,6A,-10 to -5,6,-10 to 0
49420,6A,-10 to -5,6,-10 to 0
49421,5B,-15 to -10,5,-20 to -10
49422,6B,-5 to 0,6,-10 to 0
49423,6B,-5 to 0,6,-10 to 0
49424,6B,-5 to 0,6,-10 to 0
49425,5B,-15 to -10,5,-20 to -10
49426,6A,-10 to -5,6,-10 to 0
49427,5B,-15 to -10,5,-20 to -10
49428,5B,-15 to -10,5,-20 to -10
49429,5B,-15 to -10,5,-20 to -10
49430,6A,-10 to -5,6,-10 to 0
49431,6A,-10 to -5,6,-10 to 0
49434,6B,-5 to 0,6,-10 to 0
49435,5B,-15 to -10,5,-20 to -10
49436,6A,-10 to -5,6,-10 to 0
49437,6A,-10 to -5,6,-10 to 0
49440,6A,-10 to -5,6,-10 to 0
49441,6B,-5 to 0,6,-10 to 0
49442,6A,-10 to -5,6,-10 to 0
49443,6A,-10 to -5,6,-10 to 0
49444,6A,-10 to -5,6,-10 to 0
49445,6A,-10 to -5,6,-10 to 0
49446,6A,-10 to -5,6,-10 to 0
49448,6B,-5 to 0,6,-10 to 0
49449,6A,-10 to -5,6,-10 to 0
49450,6A,-10 to -5,6,-10 to 0
49451,6A,-10 to -5,6,-10 to 0
49452,6A,-10 to -5,6,-10 to 0
49453,6B,-5 to 0,6,-10 to 0
49454,6A,-10 to -5,6,-10 to 0
49455,6A,-10 to -5,6,-10 to 0
49456,6B,-5 to 0,6,-10 to 0
49457,6A,-10 to -5,6,-10 to 0
49458,5B,-15 to -10,5,-20 to -10
49459,5B,-15 to -10,5,-20 to -10
49460,6B,-5 to 0,6,-10 to 0
49461,6A,-10 to -5,6,-10 to 0
49463,6A,-10 to -5,6,-10 to 0
49464,6A,-10 to -5,6,-10 to 0
49468,5B,-15 to -10,5,-20 to -10
49501,6A,-10 to -5,6,-10 to 0
49502,6A,-10 to -5,6,-10 to 0
49503,6A,-10 to -5,6,-10 to 0
49504,5B,-15 to -10,5,-20 to -10
49505,6A,-10 to -5,6,-10 to 0
49506,6A,-10 to -5,6,-10 to 0
49507,6A,-10 to -5,6,-10 to 0
49508,6A,-10 to -5,6,-10 to 0
49509,6A,-10 to -5,6,-10 to 0
49510,6A,-10 to -5,6,-10 to 0
49512,6A,-10 to -5,6,-10 to 0
49514,6A,-10 to -5,6,-10 to 0
49515,6A,-10 to -5,6,-10 to 0
49516,6A,-10 to -5,6,-10 to 0
49518,6A,-10 to -5,6,-10 to 0
49519,5B,-15 to -10,5,-20 to -10
49523,6A,-10 to -5,6,-10 to 0
49525,6A,-10 to -5,6,-10 to 0
49528,6A,-10 to -5,6,-10 to 0
49530,6A,-10 to -5,6,-10 to 0
49534,5B,-15 to -10,5,-20 to -10
49544,5B,-15 to -10,5,-20 to -10
49546,6A,-10 to -5,6,-10 to 0
49548,5B,-15 to -10,5,-20 to -10
49555,6A,-10 to -5,6,-10 to 0
49560,6A,-10 to -5,6,-10 to 0
49588,6A,-10 to -5,6,-10 to 0
49599,6A,-10 to -5,6,-10 to 0
49601,5A,-20 to -15,5,-20 to -10
49610,5B,-15 to -10,5,-20 to -10
49611,5A,-20 to -15,5,-20 to -10
49612,5A,-20 to -15,5,-20 to -10
49613,6B,-5 to 0,6,-10 to 0
49614,6A,-10 to -5,6,-10 to 0
49615,5A,-20 to -15,5,-20 to -10
49616,6A,-10 to -5,6,-10 to 0
49617,6B,-5 to 0,6,-10 to 0
49618,4B,-25 to -20,4,-30 to -20
49619,6A,-10 to -5,6,-10 to 0
49620,5A,-20 to -15,5,-20 to -10
49621,6A,-10 to -5,6,-10 to 0
49622,5B,-15 to -10,5,-20 to -10
49623,5A,-20 to -15,5,-20 to -10
49625,5B,-15 to -10,5,-20 to -10
49626,6A,-10 to -5,6,-10 to 0
49627,5B,-15 to -10,5,-20 to -10
49628,6A,-10 to -5,6,-10 to 0
49629,5B,-15 to -10,5,-20 to -10
49630,6B,-5 to 0,6,-10 to 0
49631,5A,-20 to -15,5,-20 to -10
49632,5A,-20 to -15,5,-20 to -10
49633,5A,-20 to -15,5,-20 to -10
49634,6A,-10 to -5,6,-10 to 0
49635,6B,-5 to 0,6,-10 to 0
49636,6A,-10 to -5,6,-10 to 0
49637,5A,-20 to -15,5,-20 to -10
49638,5A,-20 to -15,5,-20 to -10
49639,5A,-20 to -15,5,-20 to -10
49640,6A,-10 to -5,6,-10 to 0
49642,5A,-20 to -15,5,-20 to -10
49643,5B,-15 to -10,5,-20 to -10
49644,5B,-15 to -10,5,-20 to -10
49645,6A,-10 to -5,6,-10 to 0
49646,4B,-25 to -20,4,-30 to -20
49648,5B,-15 to -10,5,-20 to -10
49649,5A,-20 to -15,5,-20 to -10
49650,6A,-10 to -5,6,-10 to 0
49651,4B,-25 to -20,4,-30 to -20
49653,6A,-10 to -5,6,-10 to 0
49654,6A,-10 to -5,6,-10 to 0
49655,5A,-20 to -15,5,-20 to -10
49656,5A,-20 to -15,5,-20 to -10
49657,5A,-20 to -15,5,-20 to -10
49659,4B,-25 to -20,4,-30 to -20
49660,6A,-10 to -5,6,-10 to 0
49663,5A,-20 to -15,5,-20 to -10
49664,6A,-10 to -5,6,-10 to 0
49665,5A,-20 to -15,5,-20 to -10
49666,5A,-20 to -15,5,-20 to -10
49667,4B,-25 to -20,4,-30 to -20
49668,5A,-20 to -15,5,-20 to -10
49670,6A,-10 to -5,6,-10 to 0
49673,6A,-10 to -5,6,-10 to 0
49674,6A,-10 to -5,6,-10 to 0
49675,6A,-10 to -5,6,-10 to 0
49676,5A,-20 to -15,5,-20 to -10
49677,5A,-20 to -15,5,-20 to -10
49679,5A,-20 to -15,5,-20 to -10
49680,5A,-20 to -15,5,-20 to -10
49682,6A,-10 to -5,6,-10 to 0
49683,5B,-15 to -10,5,-20 to -10
49684,5B,-15 to -10,5,-20 to -10
49685,5A,-20 to -15,5,-20 to -10
49686,5B,-15 to -10,5,-20 to -10
49688,5A,-20 to -15,5,-20 to -10
49689,5B,-15 to -10,5,-20 to -10
49690,5B,-15 to -10,5,-20 to -10
49696,5B,-15 to -10,5,-20 to -10
49701,5A,-20 to -15,5,-20 to -10
49705,4B,-25 to -20,4,-30 to -20
49706,5A,-20 to -15,5,-20 to -10
49707,5B,-15 to -10,5,-20 to -10
49709,4B,-25 to -20,4,-30 to -20
49710,4A,-30 to -25,4,-30 to -20
49711,5B,-15 to -10,5,-20 to -10
49712,5A,-20 to -15,5,-20 to -10
49713,5A,-20 to -15,5,-20 to -10
49715,4B,-25 to -20,4,-30 to -20
49716,5A,-20 to -15,5,-20 to -10
49717,5A,-20 to -15,5,-20 to -10
49718,5A,-20 to -15,5,-20 to -10
49719,5A,-20 to -15,5,-20 to -10
49720,5B,-15 to -10,5,-20 to -10
49721,5A,-20 to -15,5,-20 to -10
49722,5A,-20 to -15,5,-20 to -10
49723,5A,-20 to -15,5,-20 to -10
49724,4B,-25 to -20,4,-30 to -20
49725,5A,-20 to -15,5,-20 to -10
49726,5A,-20 to -15,5,-20 to -10
49727,5A,-20 to -15,5,-20 to -10
49728,4B,-25 to -20,4,-30 to -20
49729,5B,-15 to -10,5,-20 to -10
49730,5A,-20 to -15,5,-20 to -10
49733,4B,-25 to -20,4,-30 to -20
49734,5A,-20 to -15,5,-20 to -10
49735,4B,-25 to -20,4,-30 to -20
49736,4B,-25 to -20,4,-30 to -20
49737,5B,-15 to -10,5,-20 to -10
49738,4B,-25 to -20,4,-30 to -20
49739,4B,-25 to -20,4,-30 to -20
49740,5A,-20 to -15,5,-20 to -10
49743,5B,-15 to -10,5,-20 to -10
49744,5A,-20 to -15,5,-20 to -10
49745,5A,-20 to -15,5,-20 to -10
49746,4B,-25 to -20,4,-30 to -20
49747,5B,-15 to -10,5,-20 to -10
49748,4B,-25 to -20,4,-30 to -20
49749,4B,-25 to -20,4,-30 to -20
49751,5A,-20 to -15,5,-20 to -10
49752,4B,-25 to -20,4,-30 to -20
49753,5A,-20 to -15,5,-20 to -10
49755,5A,-20 to -15,5,-20 to -10
49756,4B,-25 to -20,4,-30 to -20
49757,5A,-20 to -15,5,-20 to -10
49759,5A,-20 to -15,5,-20 to -10
49760,5A,-20 to -15,5,-20 to -10
49761,5A,-20 to -15,5,-20 to -10
49762,5A,-20 to -15,5,-20 to -10
49764,5A,-20 to -15,5,-20 to -10
49765,5A,-20 to -15,5,-20 to -10
49766,5B,-15 to -10,5,-20 to -10
49768,5A,-20 to -15,5,-20 to -10
49769,4B,-25 to -20,4,-30 to -20
49770,5B,-15 to -10,5,-20 to -10
49774,4B,-25 to -20,4,-30 to -20
49775,5A,-20 to -15,5,-20 to -10
49776,5B,-15 to -10,5,-20 to -10
49777,5B,-15 to -10,5,-20 to -10
49779,5B,-15 to -10,5,-20 to -10
49780,4B,-25 to -20,4,-30 to -20
49781,5A,-20 to -15,5,-20 to -10
49782,5B,-15 to -10,5,-20 to -10
49783,4B,-25 to -20,4,-30 to -20
49784,4B,-25 to -20,4,-30 to -20
49785,4B,-25 to -20,4,-30 to -20
49786,4B,-25 to -20,4,-30 to -20
49788,4B,-25 to -20,4,-30 to -20
49791,5A,-20 to -15,5,-20 to -10
49792,5A,-20 to -15,5,-20 to -10
49793,4B,-25 to -20,4,-30 to -20
49795,4B,-25 to -20,4,-30 to -20
49796,5B,-15 to -10,5,-20 to -10
49797,4B,-25 to -20,4,-30 to -20
49799,4B,-25 to -20,4,-30 to -20
49801,4A,-30 to -25,4,-30 to -20
49802,4A,-30 to -25,4,-30 to -20
49805,5B,-15 to -10,5,-20 to -10
49806,5B,-15 to -10,5,-20 to -10
49807,5A,-20 to -15,5,-20 to -10
49808,5B,-15 to -10,5,-20 to -10
49812,4B,-25 to -20,4,-30 to -20
49814,4A,-30 to -25,4,-30 to -20
49815,4A,-30 to -25,4,-30 to -20
49816,5A,-20 to -15,5,-20 to -10
49817,5A,-20 to -15,5,-20 to -10
49818,4B,-25 to -20,4,-30 to -20
49819,4A,-30 to -25,4,-30 to -20
49820,5A,-20 to -15,5,-20 to -10
49821,4B,-25 to -20,4,-30 to -20
49822,5B,-15 to -10,5,-20 to -10
49825,5A,-20 to -15,5,-20 to -10
49826,5A,-20 to -15,5,-20 to -10
49827,5A,-20 to -15,5,-20 to -10
49829,5A,-20 to -15,5,-20 to -10
49831,4A,-30 to -25,4,-30 to -20
49833,4B,-25 to -20,4,-30 to -20
49834,4A,-30 to -25,4,-30 to -20
49835,5B,-15 to -10,5,-20 to -10
49836,5A,-20 to -15,5,-20 to -10
49837,5A,-20 to -15,5,-20 to -10
49838,5A,-20 to -15,5,-20 to -10
49839,5B,-15 to -10,5,-20 to -10
49840,5A,-20 to -15,5,-20 to -10
49841,4B,-25 to -20,4,-30 to -20
49845,5A,-20 to -15,5,-20 to -10
49847,4B,-25 to -20,4,-30 to -20
49848,4B,-25 to -20,4,-30 to -20
49849,4B,-25 to -20,4,-30 to -20
49852,4A,-30 to -25,4,-30 to -20
49853,5A,-20 to -15,5,-20 to -10
49854,5A,-20 to -15,5,-20 to -10
49855,5B,-15 to -10,5,-20 to -10
49858,5B,-15 to -10,5,-20 to -10
49861,4A,-30 to -25,4,-30 to -20
49862,5B,-15 to -10,5,-20 to -10
49863,4B,-25 to -20,4,-30 to -20
49864,5A,-20 to -15,5,-20 to -10
49865,4B,-25 to -20,4,-30 to -20
49866,5A,-20 to -15,5,-20 to -10
49868,5A,-20 to -15,5,-20 to -10
49870,4A,-30 to -25,4,-30 to -20
49871,5A,-20 to -15,5,-20 to -10
49872,4B,-25 to -20,4,-30 to -20
49873,4B,-25 to -20,4,-30 to -20
49874,4B,-25 to -20,4,-30 to -20
49876,4A,-30 to -25,4,-30 to -20
49877,4A,-30 to -25,4,-30 to -20
49878,5A,-20 to -15,5,-20 to -10
49879,4A,-30 to -25,4,-30 to -20
49880,4B,-25 to -20,4,-30 to -20
49881,4A,-30 to -25,4,-30 to -20
49883,5A,-20 to -15,5,-20 to -10
49884,5A,-20 to -15,5,-20 to -10
49885,5A,-20 to -15,5,-20 to -10
49886,4B,-25 to -20,4,-30 to -20
49887,4B,-25 to -20,4,-30 to -20
49891,4B,-25 to -20,4,-30 to -20
49892,4A,-30 to -25,4,-30 to -20
49893,5A,-20 to -15,5,-20 to -10
49894,5A,-20 to -15,5,-20 to -10
49895,5A,-20 to -15,5,-20 to -10
49896,5A,-20 to -15,5,-20 to -10
49901,5B,-15 to -10,5,-20 to -10
49902,4A,-30 to -25,4,-30 to -20
49903,4A,-30 to -25,4,-30 to -20
49905,5B,-15 to -10,5,-20 to -10
49908,4B,-25 to -20,4,-30 to -20
49910,4A,-30 to -25,4,-30 to -20
49911,4A,-30 to -25,4,-30 to -20
49912,4A,-30 to -25,4,-30 to -20
49913,5B,-15 to -10,5,-20 to -10
49915,3B,-35 to -30,3,-40 to -30
49916,5A,-20 to -15,5,-20 to -10
49917,5B,-15 to -10,5,-20 to -10
49918,5B,-15 to -10,5,-20 to -10
49919,4A,-30 to -25,4,-30 to -20
49920,4A,-30 to -25,4,-30 to -20
49921,5B,-15 to -10,5,-20 to -10
49922,5B,-15 to -10,5,-20 to -10
49925,4A,-30 to -25,4,-30 to -20
49927,4A,-30 to -25,4,-30 to -20
49929,4B,-25 to -20,4,-30 to -20
49930,5B,-15 to -10,5,-20 to -10
49931,5B,-15 to -10,5,-20 to -10
49934,5B,-15 to -10,5,-20 to -10
49935,4A,-30 to -25,4,-30 to -20
49938,4A,-30 to -25,4,-30 to -20
49942,5B,-15 to -10,5,-20 to -10
49945,5B,-15 to -10,5,-20 to -10
49946,5A,-20 to -15,5,-20 to -10
49947,4A,-30 to -25,4,-30 to -20
49948,4B,-25 to -20,4,-30 to -20
49950,5B,-15 to -10,5,-20 to -10
49952,4A,-30 to -25,4,-30 to -20
49953,5A,-20 to -15,5,-20 to -10
49955,5B,-15 to -10,5,-20 to -10
49958,4B,-25 to -20,4,-30 to -20
49959,4A,-30 to -25,4,-30 to -20
49960,4B,-25 to -20,4,-30 to -20
49961,4A,-30 to -25,4,-30 to -20
49962,5B,-15 to -10,5,-20 to -10
49963,5B,-15 to -10,5,-20 to -10
49964,4A,-30 to -25,4,-30 to -20
49965,5B,-15 to -10,5,-20 to -10
49967,4A,-30 to -25,4,-30 to -20
49968,4A,-30 to -25,4,-30 to -20
49969,4A,-30 to -25,4,-30 to -20
49970,4A,-30 to -25,4,-30 to -20
49971,4B,-25 to -20,4,-30 to -20
50001,5B,-15 to -10,5,-20 to -10
50002,5A,-20 to -15,5,-20 to -10
50003,5A,-20 to -15,5,-20 to -10
50005,5A,-20 to -15,5,-20 to -10
50006,5A,-20 to -15,5,-20 to -10
50007,5A,-20 to -15,5,-20 to -10
50008,5B,-15 to -10,5,-20 to -10
50009,5A,-20 to -15,5,-20 to -10
50010,5A,-20 to -15,5,-20 to -10
50011,5A,-20 to -15,5,-20 to -10
50012,5A,-20 to -15,5,-20 to -10
50013,5A,-20 to -15,5,-20 to -10
50014,5A,-20 to -15,5,-20 to -10
50020,5A,-20 to -15,5,-20 to -10
50021,5A,-20 to -15,5,-20 to -10
50022,5A,-20 to -15,5,-20 to -10
50023,5A,-20 to -15,5,-20 to -10
50025,5A,-20 to -15,5,-20 to -10
50026,5A,-20 to -15,5,-20 to -10
50027,5A,-20 to -15,5,-20 to -10
50028,5A,-20 to -15,5,-20 to -10
50029,5A,-20 to -15,5,-20 to -10
50031,5A,-20 to -15,5,-20 to -10
50032,5A,-20 to -15,5,-20 to -10
50033,5A,-20 to -15,5,-20 to -10
50034,5A,-20 to -15,5,-20 to -10
50035,5A,-20 to -15,5,-20 to -10
50036,5A,-20 to -15,5,-20 to -10
50037,5A,-20 to -15,5,-20 to -10
50038,5A,-20 to -15,5,-20 to -10
50039,5A,-20 to -15,5,-20 to -10
50040,5A,-20 to -15,5,-20 to -10
50041,5A,-20 to -15,5,-20 to -10
50042,5A,-20 to -15,5,-20 to -10
50043,5A,-20 to -15,5,-20 to -10
50044,5B,-15 to -10,5,-20 to -10
50046,5A,-20 to -15,5,-20 to -10
50047,5B,-15 to -10,5,-20 to -10
50048,5A,-20 to -15,5,-20 to -10
50049,5A,-20 to -15,5,-20 to -10
50050,5A,-20 to -15,5,-20 to -10
50051,5A,-20 to -15,5,-20 to -10
50052,5B,-15 to -10,5,-20 to -10
50054,5A,-20 to -15,5,-20 to -10
50055,5A,-20 to -15,5,-20 to -10
50056,5A,-20 to -15,5,-20 to -10
50057,5B,-15 to -10,5,-20 to -10
50058,5A,-20 to -15,5,-20 to -10
50059,5A,-20 to -15,5,-20 to -10
50060,5B,-15 to -10,5,-20 to -10
50061,5A,-20 to -15,5,-20 to -10
50062,5B,-15 to -10,5,-20 to -10
50063,5A,-20 to -15,5,-20 to -10
50064,5A,-20 to -15,5,-20 to -10
50065,5B,-15 to -10,5,-20 to -10
50066,5A,-20 to -15,5,-20 to -10
50067,5B,-15 to -10,5,-20 to -10
50068,5B,-15 to -10,5,-20 to -10
50069,5A,-20 to -15,5,-20 to -10
50070,5A,-20 to -15,5,-20 to -10
50071,5A,-20 to -15,5,-20 to -10
50072,5A,-20 to -15,5,-20 to -10
50073,5A,-20 to -15,5,-20 to -10
50074,5B,-15 to -10,5,-20 to -10
50075,5A,-20 to -15,5,-20 to -10
50076,5A,-20 to -15,5,-20 to -10
50078,5A,-20 to -15,5,-20 to -10
50099,5A,-20 to -15,5,-20 to -10
50101,5A,-20 to -15,5,-20 to -10
50102,5A,-20 to -15,5,-20 to -10
50103,5A,-20 to -15,5,-20 to -10
50104,5A,-20 to -15,5,-20 to -10
50105,5A,-20 to -15,5,-20 to -10
50106,5A,-20 to -15,5,-20 to -10
50107,5A,-20 to -15,5,-20 to -10
50108,5B,-15 to -10,5,-20 to -10
50109,5A,-20 to -15,5,-20 to -10
50110,5A,-20 to -15,5,-20 to -10
50111,5A,-20 to -15,5,-20 to -10
50112,5A,-20 to -15,5,-20 to -10
50115,5A,-20 to -15,5,-20 to -10
50116,5B,-15 to -10,5,-20 to -10
50117,5A,-20 to -15,5,-20 to -10
50118,5B,-15 to -10,5,-20 to -10
50119,5B,-15 to -10,5,-20 to -10
50120,5A,-20 to -15,5,-20 to -10
50122,5A,-20 to -15,5,-20 to -10
50123,5B,-15 to -10,5,-20 to -10
50124,5A,-20 to -15,5,-20 to -10
50125,5A,-20 to -15,5,-20 to -10
50126,5A,-20 to -15,5,-20 to -10
50127,5A,-20 to -15,5,-20 to -10
50128,5A,-20 to -15,5,-20 to -10
50129,5A,-20 to -15,5,-20 to -10
50130,5A,-20 to -15,5,-20 to -10
50131,5A,-20 to -15,5,-20 to -10
50132,5A,-20 to -15,5,-20 to -10
50133,5B,-15 to -10,5,-20 to -10
50134,5A,-20 to -15,5,-20 to -10
50135,5A,-20 to -15,5,-20 to -10
50136,5B,-15 to -10,5,-20 to -10
50137,5A,-20 to -15,5,-20 to -10
50138,5B,-15 to -10,5,-20 to -10
50139,5B,-15 to -10,5,-20 to -10
50140,5B,-15 to -10,5,-20 to -10
50141,5A,-20 to -15,5,-20 to -10
50142,5A,-20 to -15,5,-20 to -10
50143,5B,-15 to -10,5,-20 to -10
50144,5B,-15 to -10,5,-20 to -10
50145,5A,-20 to -15,5,-20 to -10
50146,5A,-20 to -15,5,-20 to -10
50147,5B,-15 to -10,5,-20 to -10
50148,5A,-20 to -15,5,-20 to -10
50149,5A,-20 to -15,5,-20 to -10
50150,5B,-15 to -10,5,-20 to -10
50151,5B,-15 to -10,5,-20 to -10
50152,5A,-20 to -15,5,-20 to -10
50153,5A,-20 to -15,5,-20 to -10
50154,5A,-20 to -15,5,-20 to -10
50155,5A,-20 to -15,5,-20 to -10
50156,5A,-20 to -15,5,-20 to -10
50157,5A,-20 to -15,5,-20 to -10
50158,5A,-20 to -15,5,-20 to -10
50160,5A,-20 to -15,5,-20 to -10
50161,5A,-20 to -15,5,-20 to -10
50162,5A,-20 to -15,5,-20 to -10
50163,5B,-15 to -10,5,-20 to -10
50164,5A,-20 to -15,5,-20 to -10
50165,5B,-15 to -10,5,-20 to -10
50166,5A,-20 to -15,5,-20 to -10
50167,5A,-20 to -15,5,-20 to -10
50168,5A,-20 to -15,5,-20 to -10
50169,5A,-20 to -15,5,-20 to -10
50170,5A,-20 to -15,5,-20 to -10
50171,5A,-20 to -15,5,-20 to -10
50173,5A,-20 to -15,5,-20 to -10
50174,5B,-15 to -10,5,-20 to -10
50201,5A,-20 to -15,5,-20 to -10
50206,5A,-20 to -15,5,-20 to -10
50207,5A,-20 to -15,5,-20 to -10
50208,5B,-15 to -10,5,-20 to -10
50210,5A,-20 to -15,5,-20 to -10
50211,5B,-15 to -10,5,-20 to -10
50212,5A,-20 to -15,5,-20 to -10
50213,5B,-15 to -10,5,-20 to -10
50214,5B,-15 to -10,5,-20 to -10
50216,5A,-20 to -15,5,-20 to -10
50217,5A,-20 to -15,5,-20 to -10
50218,5A,-20 to -15,5,-20 to -10
50219,5B,-15 to -10,5,-20 to -10
50220,5A,-20 to -15,5,-20 to -10
50222,5A,-20 to -15,5,-20 to -10
50223,5A,-20 to -15,5,-20 to -10
50225,5B,-15 to -10,5,-20 to -10
50226,5A,-20 to -15,5,-20 to -10
50227,5A,-20 to -15,5,-20 to -10
50228,5A,-20 to -15,5,-20 to -10
50229,5A,-20 to -15,5,-20 to -10
50230,5A,-20 to -15,5,-20 to -10
50231,5A,-20 to -15,5,-20 to -10
50232,5A,-20 to -15,5,-20 to -10
50233,5A,-20 to -15,5,-20 to -10
50234,5A,-20 to -15,5,-20 to -10
50235,5A,-20 to -15,5,-20 to -10
50236,5A,-20 to -15,5,-20 to -10
50237,5B,-15 to -10,5,-20 to -10
50238,5A,-20 to -15,5,-20 to -10
50239,5A,-20 to -15,5,-20 to -10
50240,5A,-20 to -15,5,-20 to -10
50241,5A,-20 to -15,5,-20 to -10
50242,5A,-20 to -15,5,-20 to -10
50243,5A,-20 to -15,5,-20 to -10
50244,5A,-20 to -15,5,-20 to -10
50246,5A,-20 to -15,5,-20 to -10
50247,5A,-20 to -15,5,-20 to -10
50248,5A,-20 to -15,5,-20 to -10
50249,5A,-20 to -15,5,-20 to -10
50250,5A,-20 to -15,5,-20 to -10
50251,5A,-20 to -15,5,-20 to -10
50252,5B,-15 to -10,5,-20 to -10
50254,5A,-20 to -15,5,-20 to -10
50255,5A,-20 to -15,5,-20 to -10
50256,5B,-15 to -10,5,-20 to -10
50257,5A,-20 to -15,5,-20 to -10
50258,5A,-20 to -15,5,-20 to -10
50259,5A,-20 to -15,5,-20 to -10
50261,5A,-20 to -15,5,-20 to -10
50262,5B,-15 to -10,5,-20 to -10
50263,5A,-20 to -15,5,-20 to -10
50264,5B,-15 to -10,5,-20 to -10
50265,5B,-15 to -10,5,-20 to -10
50266,5A,-20 to -15,5,-20 to -10
50268,5B,-15 to -10,5,-20 to -10
50269,5A,-20 to -15,5,-20 to -10
50271,5A,-20 to -15,5,-20 to -10
50272,5A,-20 to -15,5,-20 to -10
50273,5A,-20 to -15,5,-20 to -10
50274,5A,-20 to -15,5,-20 to -10
50275,5B,-15 to -10,5,-20 to -10
50276,5A,-20 to -15,5,-20 to -10
50277,5A,-20 to -15,5,-20 to -10
50278,5A,-20 to -15,5,-20 to -10
50301,5B,-15 to -10,5,-20 to -10
50302,5B,-15 to -10,5,-20 to -10
50303,5B,-15 to -10,5,-20 to -10
50304,5B,-15 to -10,5,-20 to -10
50305,5B,-15 to -10,5,-20 to -10
50306,5B,-15 to -10,5,-20 to -10
50307,5B,-15 to -10,5,-20 to -10
50308,5B,-15 to -10,5,-20 to -10
50309,5B,-15 to -10,5,-20 to -10
50310,5B,-15 to -10,5,-20 to -10
50311,5B,-15 to -10,5,-20 to -10
50312,5B,-15 to -10,5,-20 to -10
50313,5B,-15 to -10,5,-20 to -10
50314,5B,-15 to -10,5,-20 to -10
50315,5B,-15 to -10,5,-20 to -10
50316,5B,-15 to -10,5,-20 to -10
50317,5B,-15 to -10,5,-20 to -10
50318,5B,-15 to -10,5,-20 to -10
50319,5B,-15 to -10,5,-20 to -10
50320,5B,-15 to -10,5,-20 to -10
50321,5B,-15 to -10,5,-20 to -10
50322,5A,-20 to -15,5,-20 to -10
50323,5A,-20 to -15,5,-20 to -10
50324,5B,-15 to -10,5,-20 to -10
50325,5A,-20 to -15,5,-20 to -10
50327,5A,-20 to -15,5,-20 to -10
50328,5B,-15 to -10,5,-20 to -10
50329,5B,-15 to -10,5,-20 to -10
50330,5B,-15 to -10,5,-20 to -10
50331,5B,-15 to -10,5,-20 to -10
50332,5B,-15 to -10,5,-20 to -10
50333,5A,-20 to -15,5,-20 to -10
50334,5A,-20 to -15,5,-20 to -10
50335,5B,-15 to -10,5,-20 to -10
50336,5B,-15 to -10,5,-20 to -10
50339,5A,-20 to -15,5,-20 to -10
50340,5B,-15 to -10,5,-20 to -10
50359,5A,-20 to -15,5,-20 to -10
50360,5A,-20 to -15,5,-20 to -10
50361,5A,-20 to -15,5,-20 to -10
50362,5A,-20 to -15,5,-20 to -10
50363,5A,-20 to -15,5,-20 to -10
50364,5A,-20 to -15,5,-20 to -10
50367,5A,-20 to -15,5,-20 to -10
50368,5A,-20 to -15,5,-20 to -10
50369,5A,-20 to -15,5,-20 to -10
50380,5B,-15 to -10,5,-20 to -10
50381,5B,-15 to -10,5,-20 to -10
50391,5B,-15 to -10,5,-20 to -10
50392,5B,-15 to -10,5,-20 to -10
50393,5B,-15 to -10,5,-20 to -10
50394,5A,-20 to -15,5,-20 to -10
50395,5B,-15 to -10,5,-20 to -10
50396,5B,-15 to -10,5,-20 to -10
50398,5B,-15 to -10,5,-20 to -10
50401,5A,-20 to -15,5,-20 to -10
50402,5A,-20 to -15,5,-20 to -10
50420,5A,-20 to -15,5,-20 to -10
50421,5A,-20 to -15,5,-20 to -10
50423,5A,-20 to -15,5,-20 to -10
50424,5A,-20 to -15,5,-20 to -10
50426,4B,-25 to -20,4,-30 to -20
50427,5A,-20 to -15,5,-20 to -10
50428,5A,-20 to -15,5,-20 to -10
50430,5A,-20 to -15,5,-20 to -10
50431,5A,-20 to -15,5,-20 to -10
50432,5A,-20 to -15,5,-20 to -10
50433,5A,-20 to -15,5,-20 to -10
50434,5A,-20 to -15,5,-20 to -10
50435,5A,-20 to -15,5,-20 to -10
50436,5A,-20 to -15,5,-20 to -10
50438,5A,-20 to -15,5,-20 to -10
50439,5A,-20 to -15,5,-20 to -10
50440,5A,-20 to -15,5,-20 to -10
50441,5A,-20 to -15,5,-20 to -10
50444,5A,-20 to -15,5,-20 to -10
50446,5A,-20 to -15,5,-20 to -10
50447,5A,-20 to -15,5,-20 to -10
50448,5A,-20 to -15,5,-20 to -10
50449,5A,-20 to -15,5,-20 to -10
50450,5A,-20 to -15,5,-20 to -10
50451,5A,-20 to -15,5,-20 to -10
50452,5A,-20 to -15,5,-20 to -10
50453,5A,-20 to -15,5,-20 to -10
50454,5A,-20 to -15,5,-20 to -10
50455,4B,-25 to -20,4,-30 to -20
50456,5A,-20 to -15,5,-20 to -10
50457,5A,-20 to -15,5,-20 to -10
50458,5A,-20 to -15,5,-20 to -10
50459,4B,-25 to -20,4,-30 to -20
50460,5A,-20 to -15,5,-20 to -10
50461,5A,-20 to -15,5,-20 to -10
50464,5A,-20 to -15,5,-20 to -10
50465,4B,-25 to -20,4,-30 to -20
50466,4B,-25 to -20,4,-30 to -20
50467,5A,-20 to -15,5,-20 to -10
50468,5A,-20 to -15,5,-20 to -10
50469,5A,-20 to -15,5,-20 to -10
50470,5A,-20 to -15,5,-20 to -10
50471,5A,-20 to -15,5,-20 to -10
50472,5A,-20 to -15,5,-20 to -10
50473,5A,-20 to -15,5,-20 to -10
50475,5A,-20 to -15,5,-20 to -10
